name,Ingredient,,,,,,,,,,,,,,,,,,,,,,,
Cure Disease,Charred Skeever Hide,Hawk Feathers,Mudcrab Chitin,Vampire Dust,,,,,,,,,,,,,,,,,,,,
Damage Health,Crimson Nirnroot,Deathbell,Ectoplasm,Falmer Ear,Human Flesh,Human Heart,Imp Stool ,Jarrin Root,Mora Tapinella,Nightshade,Nirnroot,Orange Dartwing,Red Mountain Flower,River Betty,Skeever Tail,Slaughterfish Egg,Slaughterfish Scales,Small Antlers,Troll Fat,Void Salts,,,,
Damage Magicka,Bear Claws,Blue Butterfly Wing,Blue Mountain Flower,Butterfly Wing,Chaurus Eggs,Chicken's Egg,Daedra Heart,Eye of Sabre Cat,Glow Dust,Hagraven Claw,Hagraven Feathers,Hanging Moss,Human Heart,Jarrin Root,Luna Moth Wing,Namira's Rot,Nightshade,Nordic Barnacle,Purple Mountain Flower,Spider Egg,Spriggan Sap,Swamp Fungal Pod,Torchbug Thorax,Wheat
Damage Magicka Regen,Bear Claws,Blue Butterfly Wing,Blue Mountain Flower,Butterfly Wing,Chicken's Egg,Glow Dust,Hanging Moss,Human Heart,Jarrin Root,Nightshade,Spider Egg,Spriggan Sap,,,,,,,,,,,,
Damage Stamina,Blisterwort,Blue Butterfly Wing,Bone Meal,Butterfly Wing,Canis Root,Chicken's Egg,Creep Cluster,Crimson Nirnroot,Cyrodilic Spadetail,Daedra Heart,Frost Mirriam,Giant's Toe,Histcarp,Jarrin Root,Juniper Berries,Large Antlers,Nightshade,Nirnroot,Rock Warbler Egg,Silverside Perch,Skeever Tail,Small Antlers,Spider Egg,Wheat
Damage Stamina Regen,Creep Cluster,Daedra Heart,Frost Mirriam,Giant's Toe,Histcarp,Juniper Berries,Large Antlers,Silverside Perch,Skeever Tail,Wheat,,,,,,,,,,,,,,
Fear,Blue Dartwing,Cyrodilic Spadetail,Daedra Heart,Namira's Rot,Powdered Mammoth Tusk,,,,,,,,,,,,,,,,,,,
Fortify Alteration,Grass Pod,River Betty,Spriggan Sap,,,,,,,,,,,,,,,,,,,,,
Fortify Barter,Butterfly Wing,Dragon's Tongue,Hagraven Claw,Tundra Cotton,,,,,,,,,,,,,,,,,,,,
Fortify Block,Bleeding Crown,Briar Heart,Honeycomb,Pearl,Slaughterfish Scales,Tundra Cotton,,,,,,,,,,,,,,,,,,
Fortify Carry Weight ,Creep Cluster,Giant's Toe,Hawk Beak,River Betty,Scaly Pholiota,Wisp Wrappings,,,,,,,,,,,,,,,,,,
Fortify Conjuration,Blue Butterfly Wing,Blue Mountain Flower,Bone Meal,Frost Salts,Hagraven Feathers,Lavender,,,,,,,,,,,,,,,,,,
Fortify Destruction,Beehive Husk,Ectoplasm,Glow Dust,Glowing Mushroom,Nightshade,Wisp Wrappings,,,,,,,,,,,,,,,,,,
Fortify Enchanting,Blue Butterfly Wing,Hagraven Claw,Snowberries,Spriggan Sap,,,,,,,,,,,,,,,,,,,,
Fortify Health,Bear Claws,Blue Mountain Flower,Giant's Toe,Glowing Mushroom,Hanging Moss,Wheat,,,,,,,,,,,,,,,,,,
Fortify Heavy Armor,Ice Wraith Teeth,Sabre Cat Tooth,Slaughterfish Scales,Thistle Branch,White Cap,,,,,,,,,,,,,,,,,,,
Fortify Illusion,Dragon's Tongue,Dwarven Oil,Mora Tapinella,Scaly Pholiota,Taproot,,,,,,,,,,,,,,,,,,,
Fortify Light Armor,Beehive Husk,Hawk Feathers,Honeycomb,Luna Moth Wing,Skeever Tail,,,,,,,,,,,,,,,,,,,
Fortify Lockpicking,Falmer Ear,Namira's Rot,Pine Thrush Egg,Spider Egg,,,,,,,,,,,,,,,,,,,,
Fortify Magicka,Briar Heart,Ectoplasm,Histcarp,Jazbay Grapes,Red Mountain Flower,Tundra Cotton,Void Salts,,,,,,,,,,,,,,,,,
Fortify Marksman,Canis Root,Elves Ear,Juniper Berries,Spider Egg,,,,,,,,,,,,,,,,,,,,
Fortify One-Handed,Bear Claws,Canis Root,Hanging Moss,Hawk Feathers,Rock Warbler Egg,Small Pearl,,,,,,,,,,,,,,,,,,
Fortify Pickpocket,Blue Dartwing,Nordic Barnacle,Orange Dartwing,Slaughterfish Egg,,,,,,,,,,,,,,,,,,,,
Fortify Restoration,Abecean Longfish,Cyrodilic Spadetail,Salt Pile,Small Antlers,Small Pearl,,,,,,,,,,,,,,,,,,,
Fortify Smithing,Blisterwort,Glowing Mushroom,Sabre Cat Tooth,Spriggan Sap,,,,,,,,,,,,,,,,,,,,
Fortify Sneak,Abecean Longfish,Beehive Husk,Frost Mirriam,Hawk Feathers,Human Flesh,Powdered Mammoth Tusk,Purple Mountain Flower,,,,,,,,,,,,,,,,,
Fortify Stamina,Chaurus Eggs,Garlic,Large Antlers,Lavender,Slaughterfish Egg,Torchbug Thorax,,,,,,,,,,,,,,,,,,
Fortify Two-Handed,Dragon's Tongue,Fly Amanita,Troll Fat,,,,,,,,,,,,,,,,,,,,,
Frenzy,Blisterwort,Falmer Ear ,Fly Amanita,Hagraven Feathers,Human Heart,Troll Fat,,,,,,,,,,,,,,,,,,
Invisibility,Chaurus Eggs,Crimson Nirnroot,Ice Wraith Teeth,Luna Moth Wing,Nirnroot,Vampire Dust,,,,,,,,,,,,,,,,,,
Lingering Damage Health,Imp Stool,Mora Tapinella,Orange Dartwing,Slaughterfish Egg,Slaughterfish Scales,,,,,,,,,,,,,,,,,,,
Lingering Damage Magicka,Hagraven Claw,Purple Mountain Flower,Swamp Fungal Pod,Torchbug Thorax,Wheat,,,,,,,,,,,,,,,,,,,
Lingering Damage Stamina,Butterfly Wing,Chicken's Egg,Nightshade,Small Antlers,,,,,,,,,,,,,,,,,,,,
Paralysis,Briar Heart,Canis Root,Human Flesh,Imp Stool,Swamp Fungal Pod,,,,,,,,,,,,,,,,,,,
Ravage Health,Cyrodilic Spadetail,Eye of Sabre Cat,Giant Lichen,Jazbay Grapes,Silverside Perch,Skeever Tail,,,,,,,,,,,,,,,,,,
Ravage Magicka,Frost Mirriam,Grass Pod,Lavender,Orange Dartwing,Red Mountain Flower,White Cap,,,,,,,,,,,,,,,,,,
Ravage Stamina,Bee,Bone Meal,Deathbell,Honeycomb,Thistle Branch,,,,,,,,,,,,,,,,,,,
Regenerate Health,Garlic,Juniper Berries,Luna Moth Wing,Namira's Rot,Nordic Barnacle,Vampire Dust,,,,,,,,,,,,,,,,,,
